Month,Raw_C20,Raw_C22,Raw_C29,Raw_F,EngleGranger_P_C22,EngleGranger_P_C29,EngleGranger_P_F,System_Cointegrated
2011-09-01,89.4,89.2,113.2,96.1,0.136845216788272,0.06965659738547499,0.49344211347758404,1
2011-10-01,87.7,89.2,115.1,93.9,0.13467912804171706,0.07891150467543045,0.45175260519204213,1
2011-11-01,87.9,90.6,112.1,96.5,0.13006558632379206,0.12564852478918198,0.43947195327406274,1
2011-12-01,87.2,89.3,112.9,95.2,0.1428968756448471,0.11533087635947803,0.4336779233857987,0
2012-01-01,89.1,88.9,113.4,97.2,0.14567477310214205,0.1261468838437762,0.4226481497452337,0
2012-02-01,88.3,87.2,113.0,87.7,0.10917672940109735,0.09175596000691011,0.43659207835102765,1
2012-03-01,89.6,88.7,110.6,96.3,0.10174676744759253,0.07895946785421998,0.44933975270280846,0
2012-04-01,89.7,86.9,109.2,94.1,0.10416732037777288,0.07239685779020938,0.4123712447568007,1
2012-05-01,89.8,87.3,110.0,94.8,0.11752687882126789,0.037827044949875384,0.41648704422930033,1
2012-06-01,88.1,86.4,108.4,94.2,0.007441449741606767,0.019588013735648384,0.41501741465039954,1
2012-07-01,88.6,87.5,111.0,94.1,0.0053332317563759965,0.057368752892164046,0.416747466572564,1
2012-08-01,89.3,87.9,113.9,95.2,0.007810946553811288,0.05877837824792874,0.4343426286562986,1
2012-09-01,88.6,87.0,109.7,93.2,0.008367101046931811,0.06281134662458861,0.4377940714078395,1
2012-10-01,88.2,85.9,103.7,93.7,0.009383088646807541,0.053644154298218054,0.43260651197719374,1
2012-11-01,88.0,84.8,105.2,93.4,0.01053780087002414,0.05348459837190987,0.43170399556463634,1
2012-12-01,88.3,85.7,106.3,91.6,0.14393339113378673,0.05279093952961754,0.4280223762231546,1
2013-01-01,88.5,85.6,102.5,89.2,0.013298176967858254,0.04614973138565451,0.4286171203028665,1
2013-02-01,87.7,86.1,105.5,89.3,0.015781663526225582,0.04019064328808374,0.4351863685038567,1
2013-03-01,87.9,85.9,109.1,87.9,0.013409850881820349,0.0414877711440215,0.41957652826776204,1
2013-04-01,87.5,86.9,110.6,90.8,0.013704883471924889,0.05301504903982252,0.42980466390134897,1
2013-05-01,90.1,87.1,108.3,91.1,0.0138374900530348,0.06570446286419783,0.41407951465363857,1
2013-06-01,89.3,88.7,112.0,92.4,0.018119309753302455,0.03992518128583466,0.4428818895981536,1
2013-07-01,89.6,88.1,106.3,93.4,0.011810333827595448,0.05215589127730678,0.4279233015128706,1
2013-08-01,88.5,89.4,121.0,93.2,0.01275386388546889,0.052326249482157666,0.42847038876245924,1
2013-09-01,88.7,89.5,114.1,93.2,0.011433968656660305,0.09195829328530758,0.4269102663771188,1
2013-10-01,90.4,89.6,110.4,93.5,0.01032771783645132,0.1015188188447067,0.4312222265376755,1
2013-11-01,90.3,90.0,117.9,92.4,0.00695041975891455,0.033757012499067596,0.39125920125902197,1
2013-12-01,90.4,90.1,117.8,93.3,0.014126694979477116,0.04908770512520306,0.4090420870766335,1
2014-01-01,90.8,90.2,115.5,93.6,0.04888443970893304,0.054490925451698605,0.3648253442856034,1
2014-02-01,90.8,90.6,116.4,93.4,0.05368311113440534,0.04212052816400166,0.3422735456875593,1
2014-03-01,90.5,90.2,117.0,94.2,0.054668269399500626,0.047122449417567866,0.38480250306620467,1
2014-04-01,90.5,90.5,116.3,93.9,0.0454904765323045,0.048511604882506866,0.3010131801048738,1
2014-05-01,88.7,89.2,116.4,91.7,0.04303427536299651,0.0513852413367966,0.30691470921080555,1
2014-06-01,89.3,90.4,116.9,92.3,0.04261672434765537,0.07107272834908314,0.2963332750036374,1
2014-07-01,90.4,91.0,123.1,92.1,0.043430185463235266,0.0743226883791875,0.29959496286358167,1
2014-08-01,89.6,89.2,105.9,92.4,0.03364985556405591,0.10336031098753812,0.2993600408833983,1
2014-09-01,89.4,89.7,116.4,91.9,0.03283981111716101,0.04684123091720368,0.2239189169321123,1
2014-10-01,89.2,89.8,114.3,93.0,0.03822116206601877,0.059966013448854834,0.27428722242750614,1
2014-11-01,88.2,90.1,119.1,91.5,0.03282186200032626,0.05884800678464348,0.11080881917555069,1
2014-12-01,89.8,90.7,120.0,92.4,0.16687636894056596,0.08548372209223376,0.0003660132011806135,1
2015-01-01,89.3,91.0,115.9,92.2,0.09356337262290504,0.356351526764513,1.6501234190899404e-05,1
2015-02-01,89.3,91.8,119.2,90.7,0.09539449119162985,0.07694602578119226,0.002410996764629779,1
2015-03-01,89.8,92.6,118.9,92.9,0.031041124186714567,0.09304873230320676,0.0017267231205454422,1
2015-04-01,89.8,92.1,119.6,92.1,0.030611381367852814,0.08685646465014668,0.10487336635339467,1
2015-05-01,89.8,92.8,122.9,92.3,0.04336885803441423,0.09051187484121909,0.07395196754813065,1
2015-06-01,90.4,93.2,120.2,92.3,0.05592740307315796,0.08556452608708587,0.03333679705836335,1
2015-07-01,90.3,93.5,128.7,91.5,0.3077564319624597,0.0641626677728214,0.010342874173569664,1
2015-08-01,90.2,92.6,120.8,92.0,0.336576192447638,0.0964249358373559,0.007878342534050774,1
2015-09-01,89.7,93.5,122.4,92.2,0.2620821036650711,0.049839248998792454,0.0027624091647885335,1
2015-10-01,89.8,94.4,126.7,92.4,0.3130205799808145,0.15659718609116607,0.045293931330147405,1
2015-11-01,90.8,94.4,122.0,93.4,0.25370626885829495,0.11896985316355912,0.07044245548553178,1
2015-12-01,90.0,93.6,119.8,93.2,0.062426039509903754,0.02954111697658225,0.011064185348090779,1
2016-01-01,95.3,95.3,125.8,94.0,0.007616541449401725,0.18869344832941853,0.0471129281352149,1
